dwc:taxonID	dcterms:language	dwc:vernacularName
3R648	eng	Arizona kermes
3R677	eng	Sasscer's kermes
7FM9J	eng	pullet carpet shell
7FM9J	eng	pullet carpetclam
7FM9J	eng	pullet venus
7FLXY	eng	banded carpet shell
7FLXY	eng	banded carpetclam
7FLXY	eng	banded venus
54RPY	eng	lettered carpet shell
54RPY	eng	lettered carpetclam
54RPY	eng	lettered venus
3ZTFD	eng	quahog
7BJY8	eng	furrowed venus
KVGL	eng	wedding-cake venus
5XTBW	eng	stepped venus
5Y63P	eng	cross-barred venus
76TZX	eng	reticulated venus
775ZW	eng	youthful venus
67JT8	eng	magnificent venus clam
5VJT8	eng	lamellate venus clam
7FNZ4	eng	clam
7FNZ4	eng	warty venus
7FNZ4	eng	warty venus shell
5Z9TR	eng	banded venus
57LW4	eng	lilliput
TLM2	eng	striped venus
TLM2	eng	striped venus clam
TLLP	eng	chicken venus
TLLP	eng	striped venus
3ZTF5	eng	Südliche Quahog-Muschel
3ZTFD	eng	Northern quahog
3ZTFD	eng	cherry stones
3ZTFD	eng	hard clam
3ZTFD	eng	hard shell
3ZTFD	eng	little necks
7CBBL	eng	oval venus
37M79	eng	many-shaped dreissena
37M79	eng	zebra mussel
45GHX	eng	black-striped mussel
6S4TM	eng	Conrad's false musle
6S4TM	eng	Conrad's false mussel
6S4TM	eng	brackish water wedge clam
6S4TM	eng	dark false mussel
6S4TM	eng	dark falsemussel
47YWT	eng	Norway shipworm
47YWT	eng	Norwegian shipworm
KKWQ	eng	cupped shipworm
KKW8	eng	shipworm
4PJQZ	eng	big-ear shipworm
55F29	eng	common shipworm
55F29	eng	great shipworm
55F29	eng	naval shipworm
3WTQ6	eng	blacktip shipworm
T98P	eng	wartneck piddock
3Y9WM	eng	fragile piddock
4GKTV	eng	American rock borer
4GKTV	eng	paper piddock
33N9P	eng	angel wing
33N9P	eng	angel's wings
KS3Z	eng	Atlantic mud piddock
KS3Z	eng	Atlantic mud-piddock
KS3Z	eng	fallen angel wing
68DSW	eng	Little piddock
5WDT8	eng	white piddock
4GKVJ	eng	Campeche angel wing
4GKW9	eng	common piddock
5D5QT	eng	rough piddock
5D5QQ	eng	Atlantic great piddock
5D5QQ	eng	great piddock
5D5QQ	eng	oval piddock
32LCN	eng	boomerang clam
3RG86	eng	two-toothed Montagu shell
5572L	eng	rusty Montagu shell
6RQ4G	eng	substriated montacutid
6S2QY	eng	oblong orb mussel
6RQPB	eng	capped orb mussel
6RQPB	eng	lake fingernailclam
6RQPB	eng	lake orb mussel
4YPLY	eng	nut fingernailclam
4YPLY	eng	nut orb mussel
4YPLY	eng	nut orb shell
4YPLY	eng	river orb mussel
6YWBR	eng	European fingernailclam
6YWBR	eng	horny orb mussel
4J8NR	eng	giant pea mussel
4J8NR	eng	greater European peaclam
4J8NR	eng	large pea shell
4J8NR	eng	river pea mussel
7SQFN	eng	Bermuda freshwater clam
48MZG	eng	Moitessier's pea clam
48MZG	eng	pygmy pea mussel
7QKWY	eng	The square castalia
6VVSC	eng	Texas hornshell
3KSXY	eng	cracking pearlymussel
3D5B9	eng	spike
7843Q	eng	Kusha pigtoe
6W3RS	eng	Cherokee pigtoe
77S3J	eng	Canoe Creek clubshell
6VS48	eng	heavy pigtoe
7843W	eng	true pigtoe
77S3T	eng	round pigtoe
6VRS8	eng	fuzzy pigtoe
783RR	eng	Tennessee clubshell
6VRRS	eng	Georgia pigtoe
6VRS6	eng	rough pigtoe
7843R	eng	ovate clubshell
6VRRT	eng	Louisiana pigtoe
78446	eng	oval pigtoe
6VS45	eng	pyramid pigtoe
6VS3T	eng	warrior pigtoe
6VS3N	eng	clubshell
6W3RM	eng	Mississippi pigtoe
6W3RQ	eng	black clubshell
6VRS2	eng	Ohio pigtoe
77S3P	eng	Southern pigtoe
6W442	eng	Southern clubshell
77S45	eng	Coosa pigtoe
78444	eng	flat pigtoe
77PVN	eng	white wartyback
6VPVQ	eng	sheepnose
7827N	eng	orangefoot pimpleback
6W3R3	eng	Cumberland pigtoe
4KBTT	eng	slabside pearlymussel
4KBTS	eng	Tennessee pigtoe
39BNK	eng	purple bankclimber
6K4J8	eng	gulf pigtoe
6JSJ2	eng	finerayed pigtoe
6K4J9	eng	tapered pigtoe
6K4KJ	eng	false spike
6K4KF	eng	Wabash pigtoe
6K4J7	eng	shiny pigtoe
6JSKH	eng	Ozark pigtoe
6JSKJ	eng	Atlantic pigtoe
6JSK5	eng	longsolid
6JSKF	eng	narrow pigtoe
6JSJ7	eng	Texas pigtoe
39BLD	eng	gulf spike
39BL5	eng	hidden spike
6F4MK	eng	inflated spike
39BJZ	eng	gulf slabshell
39BLX	eng	Altamaha spinymussel
39BLS	eng	Altamaha lance
6F4MX	eng	elephantear
39BJB	eng	Carolina slabshell
39BJ6	eng	box spike
39BJ5	eng	Chipola slabshell
39BJV	eng	pod lance
6F4N9	eng	Northern lance
39BJP	eng	Satilla elephantear
39BJH	eng	Georgia elephantear
39BKC	eng	Florida spike
39BK9	eng	variable spike
39BK8	eng	Altamaha slabshell
39BJY	eng	brother spike
39BLC	eng	Atlantic spike
39BKX	eng	winged spike
39BKV	eng	St. Johns elephantear
6F4N8	eng	yellow lance
39BHN	eng	Southern lance
39BHQ	eng	Carolina lance
6F4N7	eng	Alabama spike
39BHV	eng	delicate spike
39BKR	eng	fluted elephantear
39BKN	eng	Cape Fear spike
39BJ9	eng	Eastern Elliptio
75T6Y	eng	James spinymussel
7656Y	eng	Tar river spinymussel
3YPHS	eng	Alabama mocassinshell
3YPHV	eng	Cumberland mocassinshell
3YPHY	eng	Coosa mocassinshell
3YPHZ	eng	Gulf mocassinshell
3YPJ5	eng	Suwannee moccasinshell
3YPJ3	eng	Ochlockonee moccasinshell
3T4P4	eng	birdwing pearlymussel
3JHQ2	eng	Southern sandshell
3JHPZ	eng	finelined pocketbook
3JHQ4	eng	shinyrayed pocketbook
3JHQ3	eng	Orangenacre Mucket
48B4D	eng	Haddleton lampmussel
48B46	eng	Southern hickorynut
48B48	eng	Choctaw bean
48B4L	eng	hickorynut
48B4N	eng	ring pink
48B4S	eng	round hickorynut
48B4V	eng	Alabama hickorynut
74DMM	eng	threehorn wartyback
33MSQ	eng	Tampico pearlymussel
33J8R	eng	Western fanshell
33J8T	eng	fanshell
4Q9WY	eng	rayed kidneyshell
4Q9WW	eng	kidneyshell
4Q9WZ	eng	triangular kidneyshell
4Q9X7	eng	fluted kidneyshell
4Q9X3	eng	Southern kidneyshell
4Q9X4	eng	Ouachita kidneyshell
6KH2R	eng	round pearlshell
6FVJR	eng	Tan riffleshell
6G7JY	eng	Northern Riffleshell
6FVJZ	eng	catspaw
6G7K7	eng	Ohio riffleshell
6FVKD	eng	Duck River dartersnapper
6G7JW	eng	yellow blossom
6FVK7	eng	Cumberlandian combshell
6G7JV	eng	oyster mussel
6G7KD	eng	sugarspoon
6G7KB	eng	angled riffleshell
6G7JT	eng	narrow catspaw
6G7K5	eng	forkshell
6FVK8	eng	leafshell
6FVK5	eng	acornshell
6FVJX	eng	Southern combshell
6G7JX	eng	round combshell
6FVK6	eng	upland combshell
6G7JZ	eng	Southern acornshell
6FVJN	eng	Wabash riffleshell
6FVJY	eng	Tennessee rivershell
6G7JL	eng	tubercled blossom
6G7JN	eng	Cumberland leafshell
6G7JM	eng	turgid blossom
6FVJM	eng	snuffbox
6FVKB	eng	golden riffleshell
6FVJW	eng	Curtis perlymussel
6FVJT	eng	green blossom
6FVK9	eng	white catspaw
36TVL	eng	fringed mucket
7CWV8	eng	Texas fawnsfoot
7D979	eng	fawnsfoot
7CX6X	eng	Mexican fawnsfoot
7D975	eng	deertoe
57LW7	eng	iridescent lilliput
57LWC	eng	Texas lilliput
57LW9	eng	Savannah lilliput
7CK2T	eng	pale lilliput
57LVS	eng	Southern purple liliput
7FNM9	eng	ellipse
7FNLZ	eng	Tennessee bean
7FNLM	eng	Cumberland bean
5BFDG	eng	downy rainbow
7G3P9	eng	Florida rainbow
5BFCZ	eng	Eastern creekshell
5BFDF	eng	Southern rainbow
6DKCH	eng	dromedary pearlymussel
39B8X	eng	butterfly
9G5YZ	eng	Salina mucket
4M3D7	eng	pink papershell
4M3D9	eng	bleufer
4M3D4	eng	fat pocketbook
4M3D5	eng	inflated heelsplitter
4M3D2	eng	pink heelsplitter
4M3D3	eng	Texas heelsplitter
7SST5	eng	Brazos Heelsplitter
6PX8C	eng	black sandshell
3S5XD	eng	Northern brokenray
3S5Y2	eng	Florida sandshell
3S5Z3	eng	Arkansas brokenray
3S5XS	eng	Altamaha pocketbook
3S5Y9	eng	Higgins eye
6NWVH	eng	Louisiana fatmucket
3S5YP	eng	Southern pocketbook
3S5YQ	eng	pocketbook
3S5YW	eng	Arkansas fatmucket
3S5Z8	eng	sandbank pocketbook
3S5ZD	eng	rayed pink fatmucket
6NWVJ	eng	rough fatmucket
3S5ZL	eng	yellow sandshell
3S5ZV	eng	Alabama lampmussel
3S5XB	eng	Texas fatmucket
3S5WZ	eng	pink mucket
3S5XX	eng	wavyrayed lampmussel
3S5XF	eng	plain pocketbook
3S5ZF	eng	speckled pocketbook
3S5X8	eng	line pocketbook
3S5XG	eng	Yellow Lampmussel
3S5YY	eng	Eastern Lampmussel
7RTFC	eng	Guadalupe Fatmucket
3SPHS	eng	mountain creekshell
3SPHQ	eng	dwarf rainbow
Q98N	eng	yellow rainbow
Q98L	eng	Western rainbow
6QW49	eng	washboard
32V6D	eng	Texas pimpleback
32V6C	eng	wartyback
32V6G	eng	purple pigtoe
6C63X	eng	pimpleback
32V67	eng	sculptured pigtoe
32V69	eng	Florida mapleleaf
32V68	eng	Coosa orb
32V63	eng	Tallapoosa orb
5689R	eng	stirrupshell
5689Q	eng	Appalachian monkeyface
5689P	eng	monkeyface
5689N	eng	Cumberland monkeyface
5689M	eng	rabbitsfoot
7TCGR	eng	Southern Monkeyface
594MV	eng	pistolgrip
7DKJY	eng	Apalachicola pondhorn
7DKJX	eng	tapered pondhorn
7DKJZ	eng	Eastern pondhorn
4QZJG	eng	Rio Grande monkeyface
4QZJS	eng	winged mapleleaf
4QZKF	eng	mapleleaf
4QZKF	eng	mapleleaf mussel
4QZKF	eng	stranger
794GY	eng	round ebonyshell
6X4GY	eng	Apalachicola ebonyshell
78SGY	eng	ebonyshell
4K3HY	eng	bankclimber
CL92	eng	fat threeridge
CL96	eng	threeridge
CL8X	eng	Coosa fiveridge
4XJB8	eng	Chinese pond mussel
4XJB8	eng	Chinese pondmussel
7DKFN	eng	swollen river mussel
7DKRH	eng	painter's mussel
7DLCV	eng	common Central European river mussel
7DLCV	eng	common river mussel
7F6NC	eng	flat floater
7F6MV	eng	barrel floater
7F6N7	eng	Cypress floater
7F6NF	eng	Apalachicola floater
4XG45	eng	salamander mussel
5VPXB	eng	Ouachita rock pocketbook
6829C	eng	rock pocketbook
75Y9Q	eng	littlewing pearlymussel
7F6MY	eng	paper pondshell
7F6N9	eng	Florida floater
7F6MW	eng	peninsular floater
675VL	eng	Cumberland papershell
6767L	eng	cylindrical papershell
535NZ	eng	Creeper
535P2	eng	flatwoods creekshell
6ZYRP	eng	Pascagoula creekshell
BF8G	eng	Coosa Elktoe
BF8L	eng	Carolina elktoe
BF8F	eng	elktoe
BF8N	eng	Southern elktoe
BF8S	eng	slippershell mussel
BF8T	eng	Ochlockonee arcmussel
BF7Y	eng	Altamaha Arcmussel
BF8K	eng	Appalachian elktoe
BF7Z	eng	Cumberland Elktoe
BF8R	eng	Brook Floater
BF8Q	eng	Triangle Floater
BF8C	eng	dwarf wedgemussel
3SH2S	eng	Etowah heelsplitter
3SH2L	eng	Alabama heelsplitter
3SH2W	eng	green floater
3SH2N	eng	white heelsplitter
3SH2Q	eng	flutedshell
3SH2R	eng	Carolina heelsplitter
3SH2T	eng	Tennessee heelsplitter
3SH2P	eng	creek heelsplitter
4QNGD	eng	Newfoundland floater
4QNGH	eng	lake floater
4QNGF	eng	giant floater
6WQP7	eng	inflated floater
4QNGC	eng	Eastern Floater
3B46T	eng	smooth felt scale
3B46V	eng	Polish felt scale
3B3SV	eng	arenariae eriococcin
3B3WP	eng	desert felt scale
