ppn,maa2,jvu,titel,deeltitel,editie,impressum,epn,copy_counter,sgn,mms_id_item,item_policy,mms_id_holding,mms_id,kmc4821,kmc4850
850093937,Aa,1984,@Ontdekt verleden : archeologische aspecten van het Maasland / red. G.H.J. van Alphen ; [foto's en tek.: K. Vlierman],,,Oss : Archeologische Werkgroep Oss,339179635,1,MEH 625,23360257100007151,Reading room,22360257110007151,991029546389707151,,
850093937,Aa,1984,@Ontdekt verleden : archeologische aspecten van het Maasland / red. G.H.J. van Alphen ; [foto's en tek.: K. Vlierman],,,Oss : Archeologische Werkgroep Oss,097633305,2,NA 1986/2092,23360257120007151,Reading room,22360257140007151,991029546389707151,,
850247691,Aa,1983,"@Drie middeleeuwse rivierschepen : gevonden bij Meinerswijk (Arnhem), opgravingsverslagen 5, 6 en 7 / red. H.R. Reinders",,,Lelystad : Rijksdienst voor de IJsselmeerpolders,097647926,1,GE 60014/221-1,23379020580007151,Reading room,22379020590007151,991029659149707151,,
850259096,Aa,1984,"@Vier werkschuiten uit de zeventiende eeuw : het onderzoek van vier werkschuiten, gevonden op de kavels B 19, MZ 6, B 13 en B 51 in Flevoland : opgravingsverslagen 8, 9, 10 en 11 / door H.R. Reinders ... [et al.]",,,Lelystad : Rijksdienst voor de IJsselmeerpolders,097648345,1,GE 60014/235/1-1,23379015810007151,Reading room,22379015820007151,991029669719707151,,
850827701,Aa,1984,"@Op goede gronden : de eerste boeren in Noordwest-Europa / M.E.Th. de Grooth, G.J. Verwers",,,Leiden : Rijksmuseum van Oudheden,097734829,1,4008816,23413544140007151,Reading room,22413544150007151,991030232079707151,,
850827701,Aa,1984,"@Op goede gronden : de eerste boeren in Noordwest-Europa / M.E.Th. de Grooth, G.J. Verwers",,,Leiden : Rijksmuseum van Oudheden,339651431,2,MEC 211,23413544160007151,Reading room,22413544170007151,991030232079707151,,
850837618,Aa,1984,@Teisterbant in het geding over de begrenzing van het Friese koninkrijk / H. Halbertsma,,,[Amersfoort] : ROB,097737275,1,GE 80189/225-1,23466565610007151,Reading room,22466565620007151,991030246319707151,,
850837863,Aa,1984,The @interaction between man and his physical environment in the county of Holland between circa 1000 and 1300 AD: a dynamic relationship / D.P. Hallewas,,,[Amersfoort] : ROB,097737372,1,GE 80189/226-1,23440172920007151,Reading room,22440172930007151,991030246919707151,,
85083807X,Aa,1984,@Keramologisch onderzoek aan het in Schinveld geproduceerde middeleeuwse aardewerk / J.A. Brongers,,,[Amersfoort] : ROB,097737453,1,GE 80189/227-1,23458563730007151,Reading room,22458563740007151,991030247329707151,,
85083855X,Aa,1984,De @trepanatie in het spanningsveld van archeoloog en medicus / J.A. Brongers,,,[Amersfoort] : ROB,097737542,1,GE 80189/228-1,23381734620007151,Reading room,22381734640007151,991030248149707151,,
850838711,Aa,1984,@Romeinse helmen uit de Rijn bij Rijswijk / W.A. van Es,,,[Amersfoort] : ROB,097737585,1,GE 80189/229-1,23454295210007151,Reading room,22454295220007151,991030248519707151,,
85083922X,Aa,1984,'@s-Gravenhage in archeologisch perspectief / R.M. van Heeringen,,,[Amersfoort] : ROB,097737712,1,GE 80189/230-1,23353816270007151,Reading room,22353816280007151,991030249169707151,,
85083922X,Aa,1984,'@s-Gravenhage in archeologisch perspectief / R.M. van Heeringen,,,[Amersfoort] : ROB,097737712,1,GE 80189/230-1,23353816260007151,Reading room,22353816280007151,991030249169707151,,
850871298,Af,1985,#20#!850870798!Het @Kempenprojekt / J. Slofstra,"*2*Een @regionaal-archeologisch onderzoek in uitvoering / onder red. van: J. Slofstra, H.H. van Regteren Altena, F. Theuws",,Waalre : Stichting Brabants Heem,097745839,1,GE 1717/27-1,23373569140007151,Reading room,22373569150007151,991030292029707151,,
850871298,Af,1985,#20#!850870798!Het @Kempenprojekt / J. Slofstra,"*2*Een @regionaal-archeologisch onderzoek in uitvoering / onder red. van: J. Slofstra, H.H. van Regteren Altena, F. Theuws",,Waalre : Stichting Brabants Heem,109394380,2,V 5162 [2],23373569120007151,Reading room,22373569130007151,991030292029707151,,
850886627,Aa,1984,@Van mammoet tot middeleeuwer : docentenhandleiding,,,Oss : Jan Cunencentrum,097750344,1,NE 1985/40132,23365632530007151,Reading room,22365632540007151,991030313769707151,,
850962781,Aa,1985,@Archeologie / Kurt Benesch ; [vert. uit het Duits door E.J. van Ginkel ... et al.],,1#1e dr,Utrecht [etc.] : Het Spectrum,097769460,1,GC 225/2470-1,23429406430007151,Reading room,22429406440007151,991030405949707151,,
